optimizer,score,lr,C,p,val_acc,sparsity,train_steps
Lasso_layer,first order + second order,0.001,1.0,,0.298,0.21653262519201277,16
Lasso_layer,first order + second order,0.001,2.0,,0.298,0.3637255591838716,16
Lasso_layer,first order + second order,0.001,5.0,,0.14,0.6628679969308686,16
Lasso_layer,first order + second order,0.0005,0.01,,0.162,0.0032919107124914078,16
Lasso_layer,first order + second order,0.0005,0.05,,0.197,0.010244316744926239,16
Lasso_layer,first order + second order,0.0005,0.1,,0.131,0.019902493315851044,16
Lasso_layer,first order + second order,0.0005,0.2,,0.204,0.03175819620623653,16
Lasso_layer,first order + second order,0.0005,0.5,,0.15,0.07184311662484048,16
Lasso_layer,first order + second order,0.0005,1.0,,0.189,0.12350119425100196,16
Lasso_layer,first order + second order,0.0005,2.0,,0.209,0.2071923317193865,16
Lasso_layer,first order + second order,0.0005,5.0,,0.25,0.4172941618594978,16
Lasso_neuron,first order,0.001,0.01,,0.254,0.4259997646220848,16
Lasso_neuron,first order,0.001,0.05,,0.201,0.4259361572742377,16
Lasso_neuron,first order,0.001,0.1,,0.267,0.42607182222145745,16
Lasso_neuron,first order,0.001,0.2,,0.251,0.42622561679922294,16
Lasso_neuron,first order,0.001,0.5,,0.136,0.42655732758183607,16
Lasso_neuron,first order,0.001,1.0,,0.138,0.4263141139788363,16
Lasso_neuron,first order,0.001,2.0,,0.179,0.5953274411009787,16
Lasso_neuron,first order,0.001,5.0,,0.19,0.9416178267735311,16
Lasso_neuron,first order,0.0005,0.01,,0.119,0.4261423434114618,16
Lasso_neuron,first order,0.0005,0.05,,0.234,0.42610685235505436,16
Lasso_neuron,first order,0.0005,0.1,,0.117,0.42590143442251444,16
Lasso_neuron,first order,0.0005,0.2,,0.112,0.4260060639004948,16
Lasso_neuron,first order,0.0005,0.5,,0.147,0.4262727845668294,16
Lasso_neuron,first order,0.0005,1.0,,0.148,0.42637987229979896,16
Lasso_neuron,first order,0.0005,2.0,,0.103,0.42588545576508424,16
Lasso_neuron,first order,0.0005,5.0,,0.104,0.6659732339051132,16
Lasso_neuron,second order,0.001,0.01,,0.218,0.061569915383790454,16
Lasso_neuron,second order,0.001,0.05,,0.231,0.05416058120522711,16
Lasso_neuron,second order,0.001,0.1,,0.199,0.0518681047868063,16
Lasso_neuron,second order,0.001,0.2,,0.275,0.0528080800383242,16
Lasso_neuron,second order,0.001,0.5,,0.229,0.04984311723940423,16
Lasso_neuron,second order,0.001,1.0,,0.325,0.045994258130908836,16
Lasso_neuron,second order,0.001,2.0,,0.188,0.08649877194799192,16
Lasso_neuron,second order,0.001,5.0,,0.222,0.15133155990721317,16
Lasso_neuron,second order,0.0005,0.01,,0.218,0.05232426472825066,16
Lasso_neuron,second order,0.0005,0.05,,0.127,0.06277000474135931,16
Lasso_neuron,second order,0.0005,0.1,,0.145,0.04955335043254533,16
Lasso_neuron,second order,0.0005,0.2,,0.218,0.04975999749257991,16
Lasso_neuron,second order,0.0005,0.5,,0.133,0.050142256143409676,16
Lasso_neuron,second order,0.0005,1.0,,0.241,0.05966968427709327,16
Lasso_neuron,second order,0.0005,2.0,,0.125,0.04823234565769229,16
Lasso_neuron,second order,0.0005,5.0,,0.212,0.09277254596245446,16
Lasso_neuron,first order + second order,0.001,0.01,,0.252,0.03626847954777941,16
Lasso_neuron,first order + second order,0.001,0.05,,0.121,0.03446581043596845,16
Lasso_neuron,first order + second order,0.001,0.1,,0.155,0.029559748041154875,16
Lasso_neuron,first order + second order,0.001,0.2,,0.273,0.03463635187584829,16
Lasso_neuron,first order + second order,0.001,0.5,,0.225,0.03473944494446034,16
Lasso_neuron,first order + second order,0.001,1.0,,0.229,0.033125139621201345,16
Lasso_neuron,first order + second order,0.001,2.0,,0.273,0.05381473545642574,16
Lasso_neuron,first order + second order,0.001,5.0,,0.295,0.1259785007164277,16
Lasso_neuron,first order + second order,0.0005,0.01,,0.133,0.029749340957201473,16
Lasso_neuron,first order + second order,0.0005,0.05,,0.157,0.03666825326540765,16
Lasso_neuron,first order + second order,0.0005,0.1,,0.138,0.035730428987005354,16
Lasso_neuron,first order + second order,0.0005,0.2,,0.126,0.03275517224531787,16
Lasso_neuron,first order + second order,0.0005,0.5,,0.118,0.032530241913800675,16
Lasso_neuron,first order + second order,0.0005,1.0,,0.214,0.036488032446507605,16
Lasso_neuron,first order + second order,0.0005,2.0,,0.119,0.03509727468633435,16
Lasso_neuron,first order + second order,0.0005,5.0,,0.127,0.06871083884571408,16
